Date & time,Note,Gene (x),y,z,R,range fraction
2.02203E+13,ExoN-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.305590853,0.5
2.02203E+13,nsp3-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.305538117,0.5
2.02203E+13,ns8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.305323677,0.25
2.02203E+13,nsp3-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.304940097,0.75
2.02203E+13,nsp3-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.304907533,1
2.02203E+13,ExoN-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.304827695,0.75
2.02203E+13,E-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.30383129,0.75
2.02203E+13,nsp2-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.299197274,0.5
2.02203E+13,nsp4-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.295794639,0.75
2.02203E+13,nsp15-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.294659863,1
2.02203E+13,nsp4-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.294488503,1
2.02203E+13,nsp15-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.293814639,0.75
2.02203E+13,nsp15-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.293614036,0.5
2.02203E+13,nsp15-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.291403435,0.25
2.02203E+13,nsp6-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.280360043,1
2.02203E+13,nsp7-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.275041573,1
2.02203E+13,nsp7-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.269229497,0.5
2.02203E+13,ORF7a-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.252364936,1
2.02203E+13,ORF7a-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.252358794,0.75
2.02203E+13,ORF7a-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.251993793,0.5
2.02203E+13,ORF7a-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.246328906,0.25
2.02203E+13,nsp7-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.228758578,0.75
2.02203E+13,ORF3a-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.22210868,1
2.02203E+13,ORF3a-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.22208349,0.75
2.02203E+13,ORF3a-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.221858968,0.5
2.02203E+13,nsp7-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.177247897,0.25
2.02203E+13,nsp10-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.142190215,0.5
2.02203E+13,nsp10-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.141374824,0.75
2.02203E+13,nsp10-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.137799967,1
2.02203E+13,nsp10-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.137114103,0.25
2.02203E+13,nsp16-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.131401425,0.75
2.02203E+13,nsp16-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.130106317,1
2.02203E+13,nsp16-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.12935681,0.5
2.02203E+13,NC-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.124549802,1
2.02203E+13,NC-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.117860657,0.5
2.02203E+13,NC-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.117802388,0.75
2.02203E+13,nsp3-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.117326496,0.25
2.02203E+13,nsp9-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.117271473,0.75
2.02203E+13,nsp9-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.116290364,0.25
2.02203E+13,nsp3-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.114275031,0.75
2.02203E+13,nsp9-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.111346108,0.5
2.02203E+13,nsp9-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.106504732,1
2.02203E+13,nsp3-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.105936642,1
2.02203E+13,3CL_PRO-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.096519294,0.5
2.02203E+13,Spike-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.095825745,1
2.02203E+13,Spike-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.093928975,0.25
2.02203E+13,Spike-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.091453842,0.5
2.02203E+13,3CL_PRO-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.088297989,0.25
2.02203E+13,Spike-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.087920775,0.75
2.02203E+13,nsp3-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.085002408,0.5
2.02203E+13,ExoN-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.077587295,0.75
2.02203E+13,ExoN-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.072871844,1
2.02203E+13,nsp15-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.07166539,0.5
2.02203E+13,nsp15-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.071174255,0.25
2.02203E+13,nsp15-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.070221677,1
2.02203E+13,ORF7a-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.062517881,0.5
2.02203E+13,nsp15-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.06232517,0.75
2.02203E+13,nsp1-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.052709114,1
2.02203E+13,nsp1-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.052411342,0.75
2.02203E+13,nsp1-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.052291319,0.25
2.02203E+13,nsp1-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.052144847,0.5
2.02203E+13,ExoN-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.050964437,0.25
2.02203E+13,NC-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.039099868,0.25
2.02203E+13,ns8-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.035999597,0.5
2.02203E+13,ns8-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.035960118,0.25
2.02203E+13,3CL_PRO-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.035778093,1
2.02203E+13,ns8-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.023608105,0.75
2.02203E+13,Hel-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.020954783,0.75
2.02203E+13,M-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.020371973,0.25
2.02203E+13,Hel-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.02006074,0.25
2.02203E+13,Pol-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.01969572,0.25
2.02203E+13,ns8-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.019082396,1
2.02203E+13,M-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.019036013,0.5
2.02203E+13,Pol-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.016083445,0.5
2.02203E+13,Hel-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.015393296,0.5
2.02203E+13,Hel-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.014660325,1
2.02203E+13,Pol-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.011123453,1
2.02203E+13,Pol-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.0107929,0.75
2.02203E+13,ns6-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.003403791,0.5
2.02203E+13,ns6-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.003355516,0.75
2.02203E+13,M-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.002929554,1
2.02203E+13,ns6-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.002888559,0.25
2.02203E+13,M-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.002622638,0.75
2.02203E+13,nsp7-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.00083069,0.25
2.02203E+13,nsp8-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,-0.000765579,1
2.02203E+13,ns6-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,-0.000931518,1
2.02203E+13,nsp8-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,-0.003947794,0.25
2.02203E+13,ORF3a-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,-0.011091212,0.25
2.02203E+13,nsp7-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,-0.01479499,0.75
2.02203E+13,ORF3a-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,-0.016322059,1
2.02203E+13,nsp7-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,-0.01796806,0.5
2.02203E+13,nsp7-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,-0.018814794,1
2.02203E+13,ORF7a-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,-0.020287352,0.25
2.02203E+13,ORF3a-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,-0.045809112,0.5
2.02203E+13,ORF3a-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,-0.046566002,0.75
